gene,eds1,rgt1,lys14
YNR044W,0.2924833463,0.2957030615,0.04381349222
YGL032C,0.4316314855,0.4380756576,0.4083327713
YPR021C,0.4316314855,0.4380756576,0.09781935116
YDR524C,0.3958947395,0.2349313407,0.9429284486
YIL044C,0.47164260140000003,0.4788230566,0.4455469236
YCL025C,0.06412771037,0.6950324557,0.3803692266
YBR132C,0.3188528495,0.6922935259,0.2806095488
YFL055W,0.8232357164,0.8315017396,0.7907458729
YFL030W,0.04259374511,0.3834739473,0.6910057923
YDR214W,0.7799602349,0.7888099874,0.3975295134
YOR023C,0.1812692469,0.1812692469,0.1812692469
YCR082W,0.08778412724,0.3941424874,0.3686208547
YDL073W,0.2924833463,0.2957030615,0.2810218897
YLR109W,0,0,0.757358996
YHR093W,0.008983633818,0,0.3262435271
Q0050,0.1812692469,0.1812692469,0.1812692469
Q0055,0.1812692469,0.1812692469,0.1812692469
Q0060,0.1812692469,0.1812692469,0.1812692469
Q0065,0.1812692469,0.1812692469,0.1812692469
Q0070,0.1812692469,0.1812692469,0.1812692469
Q0075,0.1812692469,0.1812692469,0.1812692469
YNR074C,0.2709687908,0.8437202276,0.484439475
YAL046C,0.1812692469,0.1812692469,0.1812692469
YER087W,0.3422899948,0.3467744713,0.3262435271
YER093C-A,0.2389049713,0.2406387139,0.2327650362
YGL160W,0.6332106634,0.6422975318,0.2328582168
YHL021C,0.6332106634,0.6422975318,0.5993167303
YHR198C,0.5755552774,0.5841782136,0.1857044738
YIL087C,0.1812692469,0.1812692469,0.01752309631
YAL049C,0.5088370774,0.5166156975,0.4804204137
YIL158W,0.5434131951,0.5516678417,0.5131004624
YIR003W,0.03549097509,0.5166156975,0.1402333266
YJL046W,0.2924833463,0.2957030615,0.2810218897
YJL131C,0.08778412724,0.3941424874,0.3686208547
YJR080C,0.04514641799,0.5516678417,0.5131004624
YJR100C,0.2514959706,0.8315017396,0.7907458729
YKL037W,0.4316314855,0.4380756576,0.4083327713
YKR074W,0.7053475571,0.03863251462,0.6702665125
YBR108W,0.6830343027,0.6922935259,0.02183943224
YML050W,0.2389049713,0.2406387139,0.2327650362
YML087C,0.6830343027,0.3296279196,0.6481352398
YMR003W,0.388590433,0.09054095765,0.3686208547
YMR157C,0.388590433,0.3941424874,0.3686208547
YOL053W,0.388590433,0.3941424874,0.3686208547
YBR194W,0.2924833463,0.2957030615,0.2810218897
YOR215C,0.3422899948,0.3467744713,0.3262435271
YPL158C,0.726090038,0.7353015911,0.328112876
YPR004C,0.5755552774,0.5841782136,0.1857044738
YHR199C,0.5088370774,0.5166156975,0.4804204137
YDL237W,0.2389049713,0.2406387139,0.2327650362
YDR063W,0.3188528495,0.6922935259,0.2806095488
YER080W,0.6332106634,0.6422975318,0.5993167303
YMR092C,0.6590313242,0.6682359796,0.6245185456
YIL079C,0.446831693,0.7888099874,0.7457200102
