gene,eds1,rgt1,lys14
YER170W,0.2259286423,0.4750784503,0.4588613729
YJR105W,0.3215343482,0.7898358185,7.829437971e-4
YCR011C,0.07107817688,0.8510197329,0.8325894105
YDR216W,0.8186371288,0.6874832849,0.2999354191
YCR010C,0.8186371288,0.6874832849,0.6661865182
YDL239C,0.3507162538,0.2940203166,0.2868236806
YLR227C,0.7800347605,0.8510197329,0.8325894105
YMR064W,0.3507162538,0.2940203166,0.2868236806
YMR282C,0.04054456952,0.2397321013,0.2358669062
YPL005W,0.4850939927,0.3912439327,0.3787695642
YLR040C,0.009746209499,0.2940203166,0.2868236806
YEL052W,0.8561725403,0.3771631386,0.7092232466
YLR397C,0.268508087,0.5125613615,0.4949475981
YER017C,0.5414626968,0.4347131894,0.4201967703
YOR129C,0.5440298004,0.7097990696,0.6884471144
YDR085C,0.7800347605,0.1259724656,0.8325894105
YGL071W,0.01744036239,0.6375716589,0.07294234397
YPL202C,0.3085913699,0.9113032725,0.1946623382
YNR044W,0.3507162538,0.2940203166,0.2868236806
YGL032C,0.5414626968,0.4347131894,0.4201967703
YPR021C,0.5414626968,0.4347131894,0.1041654578
YDR524C,0.5513367756,0.8336225986,0.9516623847
YIL044C,0.2259286423,0.4750784503,0.1265590781
YCL025C,0.3010412024,0.6853588745,0.6416966198
YBR132C,0.2446932826,0.6874832849,0.6661865182
YFL055W,0.05163727224,0.827226294,0.02650024884
YFL030W,0.3068559769,0.7305213579,0.3500559529
YDR214W,0.8984261413,0.1996130345,0.422660027
YOR023C,0.1812692469,0.1812692469,0.1812692469
YCR082W,0.4850939927,0.3912439327,0.3787695642
YDL073W,0.3507162538,0.2940203166,0.2868236806
YLR109W,0,0,0.5520718673
YHR093W,0.002431219913,0,0.3343823652
Q0050,0.1812692469,0.1812692469,0.1812692469
Q0055,0.1812692469,0.1812692469,0.1812692469
Q0060,0.1812692469,0.1812692469,0.1812692469
Q0065,0.1812692469,0.1812692469,0.1812692469
Q0070,0.1812692469,0.1812692469,0.1812692469
Q0075,0.1812692469,0.1812692469,0.1812692469
YNR074C,0.5187221501,0.8395634928,0.8206278472
YAL046C,0.1812692469,0.1812692469,0.1812692469
YER087W,0.01827515655,0.3444319901,0.3343823652
YER093C-A,0.2708987927,0.2397321013,0.2358669062
YGL160W,0.1849963762,0.6375716589,0.6167800922
YHL021C,0.1849963762,0.6375716589,0.6167800922
YHR198C,0.3530293073,0.579688714,0.1988188174
YIL087C,0.1812692469,0.1812692469,0.1812692469
YAL049C,0.6363629717,0.5125613615,0.4949475981
YIL158W,0.3110417306,0.547367742,0.5286273871
YIR003W,0.08244725486,0.5125613615,0.03211698456
YJL046W,0.009746209499,0.2940203166,0.2868236806
YJL131C,0.1433143662,0.3912439327,0.3787695642
YJR080C,0.6761716897,0.547367742,0.5286273871
YJR100C,0.7392632285,0.827226294,0.8078116248
YKL037W,0.5414626968,0.1122611296,0.4201967703
YKR074W,0.8384916069,3.011391012e-4,0.1132640097
YBR108W,0.2446932826,0.6874832849,0.02553356615
YML050W,0.2708987927,0.2397321013,0.2358669062
YML087C,0.8186371288,0.6874832849,0.6661865182
YMR003W,0.4850939927,0.08909538426,0.3787695642
YMR157C,0.4850939927,0.3912439327,0.3787695642
YOL053W,0.4850939927,0.3912439327,0.3787695642
YBR194W,0.3507162538,0.04822020401,0.2868236806
YOR215C,0.002431219913,0.3444319901,0.3343823652
YPL158C,0.8561725403,0.7305213579,0.7092232466
YPR004C,0.3530293073,0.579688714,0.5600612146
YHR199C,0.6363629717,0.5125613615,0.4949475981
YDL237W,0.04054456952,0.2397321013,0.2358669062
YDR063W,0.5090043801,0.6874832849,0.2999354191
YER080W,0.7713059029,0.6375716589,0.6167800922
YMR092C,0.7963419089,0.6634514677,0.6423353921
YIL079C,0.8984261413,0.7842250624,0.422660027
YDL175C,0.183934911,0.4347131894,2.553404285e-4
YBR059C,0.1320651426,0.7305213579,0.7092232466
YDR264C,0.06214360778,0.0277399156,0.02452901625
YOR034C,0.4850939927,0.3912439327,0.3787695642
YOR335C,0.2755986874,0.3507677798,0.6884471144
YJL122W,0.7431921818,0.242491951,0.5893988544
YMR170C,0.4338974954,0.6375716589,0.6167800922
YMR169C,0.472258199,0.6634514677,0.6423353921
YOR374W,0.5187221501,0.8395634928,0.2476132386
YER073W,0.4093526546,0.9879476417,0.553857182
YPL061W,0.5440298004,0.7097990696,0.6884471144
YOR175C,0.8186371288,0.6874832849,0.6661865182
YNL148C,0.5090043801,0.6874832849,0.2999354191
YBR110W,0.1812692469,0.1812692469,0.1812692469
YNL048W,0.5916605061,0.4750784503,0.4588613729
YNR030W,0.3110417306,0.547367742,0.5286273871
YGL047W,0.2708987927,0.2397321013,0.2358669062
YBR070C,0.2143989348,0.6634514677,0.6423353921
YGL065C,0.5916605061,0.4750784503,0.02452901625
YBL082C,0.6761716897,0.547367742,0.174105034
YPL227C,0.5440298004,0.7097990696,0.32511844559999997
YOR002W,0.08244725486,0.5125613615,0.1499497928
YBR243C,0.7392632285,0.5238749553,0.8078116248
YOR067C,0.2708987927,0.2397321013,0.2358669062
YNL219C,0.4902705939,0.827226294,0.8078116248
YGL021W,0.7431921818,0.6097017524,0.5893988544
YBL009W,0.3940806323,0.6097017524,0.5893988544
YML086C,0.3530293073,0.2153798361,0.5600612146
YNL270C,0.3507162538,0.2940203166,0.2868236806
YOL130W,0.8719178751,0.4030992672,0.7286139071
YFL050C,0.2708987927,0.2397321013,0.2358669062
YLR089C,0.0822347199,0.1996130345,0.763602217
YDR111C,0.1447342399,0.2773866966,0.5124140106
YKR021W,0.4217957961,0.3444319901,0.3343823652
YJL084C,0.2755986874,0.7097990696,0.6884471144
YGR225W,0.6363629717,0.5125613615,0.4949475981
YML035C,0.16285487,0.5673700321,0.5333754821
YDR242W,0.2464617613,0.5010461496,0.4686707994
YBR211C,0.2446932826,0.6874832849,0.6661865182
YOR378W,0.2446932826,0.3239959302,0.6661865182
YBR158W,0.4310518275,0.477521828,0.4459337252
